seed,mse,mae
161,0.1047,0.2513
279,0.1044,0.2518
294,0.1043,0.2515
294,0.1043,0.2515
143,0.1026,0.2487
168,0.101,0.2475
100,0.1008,0.2468
95,0.1008,0.2476
226,0.1008,0.2467
226,0.1008,0.2467
105,0.1007,0.2463
174,0.1005,0.2468
209,0.1004,0.2463
68,0.1,0.2451
25,0.0992,0.2451
66,0.0989,0.2444
108,0.0984,0.2442
133,0.0984,0.2434
185,0.0978,0.243
120,0.0978,0.243
94,0.0976,0.2426
234,0.0976,0.2438
234,0.0976,0.2438
142,0.0975,0.2429
77,0.0973,0.2424
9,0.0971,0.2419
90,0.0971,0.2417
5,0.0971,0.242
39,0.097,0.2423
129,0.0969,0.2422
79,0.0967,0.2418
78,0.0965,0.2413
240,0.0965,0.2414
240,0.0965,0.2414
241,0.0965,0.2414
266,0.0963,0.2413
96,0.0963,0.2413
203,0.0962,0.2416
299,0.0962,0.2414
255,0.0962,0.2408
255,0.0962,0.2408
86,0.0962,0.2414
299,0.0962,0.2414
301,0.0961,0.2419
301,0.0961,0.2419
18,0.096,0.2418
199,0.0959,0.2409
225,0.0958,0.2411
225,0.0958,0.2411
24,0.0957,0.2412
296,0.0956,0.2408
296,0.0956,0.2408
80,0.0956,0.2405
27,0.0956,0.241
41,0.0956,0.2403
28,0.0956,0.2406
63,0.0955,0.2407
132,0.0955,0.2405
232,0.0953,0.241
198,0.0953,0.2405
232,0.0953,0.241
228,0.0952,0.2397
122,0.0952,0.2399
228,0.0952,0.2397
243,0.0952,0.2415
191,0.0952,0.2399
243,0.0952,0.2415
131,0.0951,0.2399
8,0.0951,0.2399
32,0.0949,0.2396
2,0.0949,0.24
188,0.0949,0.2405
180,0.0947,0.2397
280,0.0947,0.2393
61,0.0946,0.24
48,0.0944,0.2394
52,0.0943,0.2393
64,0.0943,0.2396
283,0.0943,0.24
138,0.0941,0.2398
170,0.0941,0.2388
72,0.094,0.2389
152,0.094,0.2386
59,0.0939,0.2389
218,0.0939,0.2393
235,0.0938,0.2389
246,0.0938,0.2386
164,0.0938,0.2388
235,0.0938,0.2389
246,0.0938,0.2386
197,0.0937,0.2386
89,0.0937,0.238
42,0.0936,0.2383
237,0.0935,0.2381
237,0.0935,0.2381
238,0.0934,0.2377
238,0.0934,0.2377
31,0.0934,0.2389
160,0.0934,0.239
125,0.0934,0.2378
231,0.0933,0.2387
231,0.0933,0.2387
135,0.0933,0.238
117,0.0932,0.2376
285,0.0932,0.2376
247,0.0932,0.2375
7,0.0932,0.2374
285,0.0932,0.2376
247,0.0932,0.2375
153,0.0931,0.2379
136,0.0931,0.2373
50,0.0931,0.2377
262,0.0931,0.2376
210,0.0931,0.2378
262,0.0931,0.2376
254,0.0929,0.2373
303,0.0929,0.2376
254,0.0929,0.2373
303,0.0929,0.2376
13,0.0928,0.237
88,0.0928,0.2375
192,0.0928,0.2373
33,0.0928,0.2374
45,0.0927,0.2371
263,0.0927,0.2386
263,0.0927,0.2386
44,0.0926,0.2378
35,0.0926,0.2369
207,0.0926,0.2371
116,0.0925,0.2373
305,0.0925,0.2372
305,0.0925,0.2372
229,0.0924,0.2369
195,0.0924,0.2365
270,0.0924,0.237
229,0.0924,0.2369
3,0.0923,0.2372
245,0.0923,0.2376
245,0.0923,0.2376
43,0.0922,0.2372
65,0.0922,0.2369
249,0.0921,0.2369
267,0.0921,0.237
211,0.0921,0.2364
249,0.0921,0.2369
150,0.092,0.2367
216,0.092,0.237
213,0.0918,0.2359
74,0.0918,0.2366
148,0.0918,0.2365
172,0.0918,0.237
145,0.0918,0.2365
224,0.0918,0.2364
224,0.0918,0.2364
