seed,mse,mae
39,0.058,0.1806
104,0.0574,0.1798
107,0.0546,0.1739
247,0.0538,0.173
57,0.0521,0.1704
272,0.0521,0.17
207,0.0516,0.1698
273,0.0515,0.1691
8,0.0515,0.1698
162,0.0514,0.1697
290,0.0514,0.169
117,0.0512,0.1681
159,0.0511,0.1683
291,0.051,0.1682
201,0.051,0.1679
267,0.0508,0.1678
167,0.0508,0.1677
265,0.0507,0.1676
142,0.0506,0.1675
148,0.0506,0.1679
101,0.0505,0.1677
169,0.0504,0.167
253,0.0504,0.1673
293,0.0502,0.1678
126,0.0502,0.167
138,0.0501,0.1672
271,0.0501,0.1672
211,0.05,0.1664
100,0.0499,0.1667
296,0.0499,0.1668
12,0.0498,0.1663
127,0.0497,0.1664
16,0.0496,0.1659
249,0.0495,0.1651
204,0.0495,0.1656
269,0.0494,0.1656
18,0.0493,0.1652
163,0.0493,0.1651
43,0.0493,0.1654
246,0.0492,0.1656
288,0.0492,0.1652
248,0.0491,0.1655
99,0.049,0.1646
168,0.049,0.165
161,0.049,0.1651
243,0.0489,0.1655
123,0.0488,0.1647
165,0.0488,0.1644
166,0.0488,0.1646
171,0.0488,0.1648
124,0.0486,0.1638
61,0.0486,0.1643
108,0.0486,0.164
2,0.0486,0.1648
160,0.0486,0.1642
190,0.0485,0.1652
297,0.0485,0.1636
188,0.0484,0.1636
186,0.0483,0.1637
268,0.0483,0.1638
275,0.0481,0.1632
36,0.0481,0.1639
181,0.048,0.1633
20,0.0479,0.1628
7,0.0479,0.163
203,0.0479,0.164
252,0.0477,0.1623
58,0.0477,0.1624
292,0.0476,0.162
254,0.0476,0.1626
6,0.0476,0.1628
121,0.0476,0.163
191,0.0476,0.1622
38,0.0475,0.1623
125,0.0475,0.1626
184,0.0475,0.1625
185,0.0474,0.162
244,0.0474,0.1621
183,0.0474,0.162
213,0.0474,0.1621
9,0.0474,0.1631
40,0.0473,0.1629
35,0.0473,0.1618
34,0.0472,0.1617
119,0.0472,0.162
64,0.0472,0.1616
180,0.0471,0.1611
210,0.0471,0.1616
13,0.047,0.1609
98,0.047,0.1614
14,0.0469,0.1625
63,0.0468,0.161
19,0.0467,0.161
59,0.0467,0.161
0,0.0466,0.1612
285,0.0466,0.1623
250,0.0465,0.1612
22,0.0465,0.1613
15,0.0465,0.1605
60,0.0465,0.1609
141,0.0464,0.1603
189,0.0464,0.1608
287,0.0464,0.1603
41,0.0463,0.1603
251,0.0463,0.1602
37,0.0463,0.161
33,0.0462,0.1598
146,0.0462,0.1609
270,0.0462,0.1599
65,0.0461,0.1601
106,0.0461,0.1607
54,0.0461,0.1608
208,0.0461,0.1613
120,0.046,0.16
122,0.046,0.1596
147,0.046,0.1596
3,0.0459,0.1595
164,0.0459,0.1609
139,0.0459,0.1597
21,0.0459,0.1602
294,0.0458,0.1593
144,0.0458,0.1592
118,0.0458,0.1596
266,0.0457,0.1591
286,0.0457,0.1591
105,0.0457,0.1595
212,0.0456,0.1591
96,0.0456,0.1592
128,0.0455,0.1593
202,0.0455,0.1594
140,0.0454,0.1595
170,0.0454,0.1587
209,0.0453,0.1584
274,0.0453,0.1589
187,0.0451,0.1583
1,0.045,0.1586
55,0.045,0.1581
56,0.0449,0.1578
10,0.0449,0.1576
143,0.0449,0.1583
289,0.0448,0.1591
264,0.0448,0.1584
145,0.0447,0.1576
295,0.0447,0.158
97,0.0447,0.1574
102,0.0447,0.158
245,0.0446,0.1578
17,0.0445,0.1572
205,0.0445,0.1577
42,0.0444,0.1575
62,0.0444,0.1575
206,0.0443,0.1575
4,0.0441,0.1569
103,0.0439,0.1568
182,0.0436,0.1569
44,0.0435,0.1559
5,0.0431,0.1554
