seed,mse,mae
137,0.036,0.1429
263,0.0333,0.1366
227,0.0332,0.1364
132,0.0331,0.1371
261,0.0331,0.1372
68,0.0328,0.1358
297,0.0326,0.1353
166,0.0326,0.1361
115,0.0325,0.1354
50,0.0325,0.1361
133,0.0325,0.1366
202,0.0324,0.135
298,0.0322,0.1349
206,0.032,0.1344
288,0.0319,0.1342
102,0.0319,0.1347
26,0.0319,0.1334
250,0.0319,0.1349
203,0.0318,0.1345
160,0.0316,0.1331
37,0.0316,0.1334
209,0.0316,0.1335
289,0.0315,0.1322
149,0.0314,0.1344
29,0.0314,0.1334
186,0.0312,0.1326
240,0.0312,0.1323
257,0.0312,0.1321
15,0.0312,0.1326
183,0.0312,0.1321
31,0.0311,0.1332
116,0.031,0.1324
232,0.031,0.1317
156,0.0309,0.1324
154,0.0309,0.1332
222,0.0309,0.1316
140,0.0308,0.1317
218,0.0308,0.1313
200,0.0308,0.1311
96,0.0308,0.1322
177,0.0307,0.1313
237,0.0307,0.1317
59,0.0307,0.1315
157,0.0307,0.1312
150,0.0307,0.131
7,0.0307,0.1325
43,0.0306,0.1315
24,0.0306,0.1307
180,0.0306,0.1322
138,0.0306,0.1317
205,0.0305,0.1306
170,0.0305,0.1308
282,0.0305,0.1309
25,0.0305,0.131
139,0.0305,0.1307
220,0.0305,0.1317
114,0.0304,0.1303
208,0.0304,0.131
98,0.0304,0.1304
254,0.0304,0.1309
239,0.0304,0.1311
79,0.0304,0.1309
191,0.0304,0.1319
196,0.0303,0.1316
70,0.0303,0.1301
187,0.0303,0.1303
185,0.0303,0.1305
152,0.0303,0.1304
105,0.0303,0.13
281,0.0303,0.1305
230,0.0303,0.1301
172,0.0303,0.1308
32,0.0302,0.1303
269,0.0302,0.1315
236,0.0302,0.1306
3,0.0302,0.1306
99,0.0302,0.1306
127,0.0302,0.1308
120,0.0302,0.1298
84,0.0302,0.1306
126,0.0302,0.1299
253,0.0302,0.13
178,0.0302,0.1306
189,0.0301,0.1306
135,0.0301,0.1299
89,0.0301,0.13
47,0.0301,0.1296
17,0.0301,0.1298
190,0.0301,0.1302
87,0.0301,0.1299
284,0.0301,0.1299
182,0.0301,0.1301
82,0.0301,0.1303
136,0.0301,0.13
53,0.0301,0.1311
300,0.0301,0.1298
268,0.0301,0.1297
108,0.03,0.13
117,0.03,0.13
296,0.03,0.1302
130,0.03,0.1299
80,0.03,0.1302
151,0.03,0.1296
12,0.03,0.1295
159,0.03,0.1297
234,0.03,0.1295
195,0.03,0.1296
216,0.03,0.13
95,0.03,0.1302
94,0.03,0.13
124,0.0299,0.1298
44,0.0299,0.1299
145,0.0299,0.1301
142,0.0299,0.1303
60,0.0299,0.1298
201,0.0299,0.1307
238,0.0299,0.1294
38,0.0299,0.1299
304,0.0299,0.13
286,0.0299,0.1297
271,0.0298,0.1295
76,0.0298,0.1294
224,0.0298,0.1294
247,0.0298,0.1293
72,0.0298,0.13
294,0.0298,0.1299
4,0.0298,0.1296
131,0.0298,0.1293
109,0.0298,0.1293
16,0.0297,0.1296
51,0.0297,0.1296
266,0.0297,0.1295
153,0.0297,0.1294
74,0.0297,0.1295
158,0.0297,0.1296
103,0.0296,0.1292
235,0.0296,0.1293
64,0.0296,0.1288
267,0.0296,0.1289
69,0.0296,0.1299
176,0.0296,0.1294
6,0.0296,0.1291
173,0.0296,0.1289
225,0.0296,0.13
244,0.0296,0.129
171,0.0295,0.1289
71,0.0295,0.1298
113,0.0295,0.1292
67,0.0295,0.1295
175,0.0295,0.129
174,0.0295,0.1286
52,0.0295,0.1288
112,0.0295,0.1293
163,0.0295,0.1293
30,0.0295,0.1295
211,0.0295,0.1288
302,0.0295,0.1294
228,0.0295,0.1292
14,0.0295,0.1287
258,0.0295,0.129
242,0.0295,0.1294
22,0.0294,0.1292
212,0.0294,0.1285
299,0.0294,0.1286
287,0.0294,0.1283
184,0.0294,0.1289
65,0.0294,0.1284
291,0.0294,0.1287
2,0.0294,0.1286
18,0.0294,0.1287
39,0.0294,0.1284
66,0.0294,0.1291
168,0.0294,0.1285
8,0.0294,0.1287
97,0.0293,0.1283
279,0.0293,0.1289
93,0.0293,0.1281
275,0.0293,0.1285
164,0.0293,0.1297
260,0.0293,0.1298
280,0.0293,0.1283
41,0.0293,0.128
192,0.0293,0.1289
146,0.0293,0.1288
106,0.0293,0.1287
34,0.0292,0.1286
122,0.0292,0.1284
213,0.0292,0.1283
111,0.0292,0.129
245,0.0292,0.1283
292,0.0292,0.1284
264,0.0292,0.1284
28,0.0292,0.1284
147,0.0292,0.1284
293,0.0292,0.128
179,0.0292,0.128
169,0.0292,0.1282
11,0.0292,0.1283
35,0.0292,0.1279
134,0.0292,0.128
295,0.0292,0.1283
188,0.0292,0.1283
56,0.0292,0.1284
262,0.0292,0.1284
198,0.0291,0.1282
217,0.0291,0.1279
248,0.0291,0.1278
91,0.0291,0.1276
233,0.0291,0.1282
256,0.0291,0.1281
13,0.0291,0.1279
197,0.0291,0.1281
274,0.0291,0.129
252,0.0291,0.1283
207,0.0291,0.1279
210,0.029,0.1281
0,0.029,0.1282
270,0.029,0.1277
55,0.029,0.1277
259,0.029,0.1286
63,0.029,0.1277
42,0.029,0.128
36,0.029,0.1279
83,0.029,0.1282
143,0.029,0.1287
246,0.029,0.1291
148,0.029,0.1283
75,0.029,0.1288
23,0.029,0.1275
249,0.029,0.1282
181,0.029,0.1281
5,0.029,0.1277
110,0.029,0.1279
243,0.029,0.1275
54,0.0289,0.1285
229,0.0289,0.128
165,0.0289,0.128
58,0.0289,0.1276
73,0.0289,0.1279
162,0.0289,0.1276
62,0.0289,0.1281
85,0.0289,0.1281
10,0.0289,0.1274
121,0.0289,0.1282
241,0.0289,0.1279
57,0.0289,0.1277
214,0.0289,0.128
301,0.0289,0.1274
194,0.0289,0.128
100,0.0289,0.1276
123,0.0288,0.1282
141,0.0288,0.1272
290,0.0288,0.1281
251,0.0288,0.1275
77,0.0288,0.1275
305,0.0288,0.1273
272,0.0287,0.1271
278,0.0287,0.1274
277,0.0287,0.1275
221,0.0287,0.1275
86,0.0286,0.1269
283,0.0286,0.1274
101,0.0286,0.127
46,0.0286,0.1271
49,0.0286,0.1275
265,0.0286,0.1272
45,0.0286,0.1271
215,0.0286,0.1273
61,0.0286,0.1268
9,0.0286,0.1273
129,0.0286,0.1278
161,0.0285,0.1267
81,0.0285,0.1271
223,0.0285,0.1274
1,0.0284,0.1272
40,0.0284,0.1271
144,0.0284,0.1269
78,0.0284,0.1267
155,0.0284,0.1266
226,0.0284,0.1266
88,0.0283,0.1263
255,0.0283,0.1263
92,0.0283,0.1269
21,0.0283,0.1266
27,0.0283,0.1269
285,0.0283,0.127
118,0.0283,0.1269
303,0.0283,0.1267
231,0.0283,0.1267
204,0.0282,0.1266
33,0.0282,0.1263
19,0.0282,0.1263
119,0.0282,0.126
276,0.0282,0.1267
219,0.0282,0.1274
199,0.0281,0.1263
107,0.0281,0.1264
128,0.0281,0.1273
90,0.0281,0.1267
104,0.0281,0.1264
48,0.028,0.1267
273,0.028,0.1262
193,0.028,0.1263
125,0.028,0.1264
20,0.0279,0.1258
167,0.0279,0.1259
