seed,mse,mae
52,0.0582,0.1826
234,0.0574,0.18
190,0.0571,0.1788
51,0.057,0.1798
293,0.0549,0.1753
179,0.0546,0.1744
143,0.0543,0.174
257,0.0543,0.174
130,0.0542,0.175
114,0.0535,0.1723
160,0.0534,0.1727
11,0.0532,0.173
245,0.0531,0.1725
41,0.0531,0.1721
9,0.0531,0.1726
203,0.0528,0.1713
36,0.0528,0.1711
267,0.0527,0.1712
205,0.0527,0.171
186,0.0526,0.1712
37,0.0525,0.1715
280,0.0525,0.1709
231,0.0525,0.171
274,0.0524,0.1712
224,0.0524,0.1709
266,0.0521,0.1699
207,0.0518,0.1691
15,0.0517,0.1703
38,0.0517,0.1705
304,0.0516,0.1697
167,0.0515,0.1692
276,0.0514,0.1688
184,0.0514,0.1697
97,0.0512,0.1687
30,0.0512,0.1705
136,0.0511,0.1691
233,0.051,0.169
214,0.051,0.1682
271,0.0509,0.1693
118,0.0509,0.1696
101,0.0509,0.1677
104,0.0509,0.1689
171,0.0508,0.1685
173,0.0507,0.1676
103,0.0506,0.168
291,0.0506,0.1673
105,0.0503,0.1677
72,0.0503,0.1674
250,0.0502,0.1668
198,0.0502,0.167
31,0.0502,0.1677
208,0.0502,0.1672
139,0.0501,0.1671
259,0.05,0.1664
249,0.0499,0.1662
92,0.0499,0.1664
225,0.0499,0.167
240,0.0498,0.1663
285,0.0498,0.1662
287,0.0497,0.166
99,0.0497,0.1664
172,0.0497,0.1657
174,0.0497,0.1671
152,0.0497,0.1664
298,0.0496,0.166
156,0.0496,0.1653
50,0.0496,0.1655
196,0.0496,0.166
98,0.0496,0.1655
54,0.0495,0.1657
227,0.0495,0.1654
226,0.0495,0.1661
183,0.0495,0.1654
292,0.0495,0.1676
239,0.0494,0.1657
297,0.0494,0.166
8,0.0494,0.1658
82,0.0493,0.1651
59,0.0493,0.1654
78,0.0493,0.1649
48,0.0493,0.1653
248,0.0492,0.1652
149,0.0492,0.1653
254,0.0492,0.1654
197,0.0491,0.1661
158,0.0491,0.1647
223,0.0491,0.1651
159,0.0491,0.1659
24,0.0491,0.1649
169,0.0491,0.1649
177,0.049,0.1647
281,0.049,0.1646
217,0.049,0.1647
303,0.0489,0.165
222,0.0489,0.1647
68,0.0489,0.1647
242,0.0489,0.1653
79,0.0489,0.1648
6,0.0489,0.1647
195,0.0488,0.1658
115,0.0488,0.1654
269,0.0487,0.1647
192,0.0487,0.1643
263,0.0487,0.1638
49,0.0487,0.1649
95,0.0487,0.1641
301,0.0487,0.1645
161,0.0487,0.1642
5,0.0487,0.1642
150,0.0486,0.1648
215,0.0486,0.164
46,0.0486,0.1646
134,0.0486,0.1639
3,0.0486,0.1641
7,0.0486,0.1639
146,0.0486,0.164
175,0.0486,0.1644
53,0.0485,0.1635
121,0.0485,0.1648
122,0.0485,0.1638
108,0.0485,0.1642
272,0.0484,0.1634
126,0.0484,0.1636
58,0.0484,0.1639
209,0.0484,0.1648
13,0.0483,0.1633
70,0.0483,0.1635
55,0.0483,0.1633
286,0.0483,0.1636
135,0.0483,0.1635
230,0.0483,0.1635
23,0.0483,0.1632
157,0.0483,0.1633
14,0.0483,0.164
178,0.0483,0.1633
247,0.0482,0.1631
111,0.0482,0.1634
253,0.0482,0.1631
229,0.0482,0.1646
12,0.0482,0.1635
133,0.0481,0.1639
65,0.0481,0.1633
109,0.0481,0.1638
137,0.048,0.1629
83,0.048,0.1629
80,0.048,0.1633
29,0.048,0.1633
187,0.048,0.1632
295,0.048,0.1627
188,0.048,0.1647
148,0.048,0.1631
84,0.0479,0.1636
22,0.0479,0.1632
212,0.0479,0.1627
106,0.0479,0.163
232,0.0479,0.1631
129,0.0479,0.163
61,0.0479,0.1637
117,0.0479,0.163
110,0.0479,0.1632
57,0.0479,0.163
21,0.0478,0.1624
33,0.0478,0.1625
77,0.0478,0.1626
299,0.0478,0.1632
264,0.0478,0.1625
90,0.0478,0.1628
