seed,mse,mae
0,0.159,0.3088
4,0.1557,0.3043
39,0.153,0.3014
144,0.1488,0.2964
78,0.1464,0.2934
162,0.0846,0.2175
164,0.0843,0.2173
124,0.0842,0.2171
141,0.0842,0.217
15,0.0834,0.2161
161,0.0833,0.2158
163,0.083,0.2158
99,0.083,0.2155
5,0.0829,0.2155
103,0.0818,0.214
145,0.0817,0.2139
97,0.0817,0.2142
8,0.0815,0.2137
80,0.081,0.2135
19,0.0809,0.2135
13,0.0808,0.2133
118,0.0806,0.2124
3,0.0803,0.2133
38,0.0803,0.2126
58,0.0802,0.2138
10,0.0801,0.2122
83,0.08,0.2123
54,0.0799,0.2118
36,0.0797,0.212
139,0.0794,0.2109
34,0.0794,0.212
56,0.0789,0.2116
17,0.0786,0.2101
77,0.0785,0.21
142,0.0784,0.2128
122,0.0784,0.2097
21,0.0784,0.2113
98,0.0781,0.2098
102,0.078,0.2102
62,0.078,0.2095
18,0.0779,0.2096
123,0.0777,0.2097
100,0.0777,0.2104
75,0.0775,0.2094
41,0.0773,0.2145
37,0.0773,0.2096
138,0.0772,0.2087
35,0.0771,0.2117
55,0.0771,0.2083
79,0.077,0.2094
33,0.0769,0.2092
60,0.0766,0.21
12,0.0766,0.2094
82,0.0765,0.2102
117,0.0765,0.2093
96,0.0763,0.2081
42,0.0761,0.2085
119,0.0757,0.2082
120,0.0756,0.2074
1,0.0756,0.2114
16,0.0755,0.2151
7,0.0754,0.2113
14,0.0754,0.2068
2,0.0753,0.2068
76,0.0753,0.207
143,0.0752,0.2079
20,0.0749,0.2119
61,0.0749,0.2091
121,0.0746,0.2096
81,0.0745,0.2078
6,0.0745,0.2062
40,0.0742,0.2084
160,0.0742,0.2062
57,0.0739,0.2082
59,0.0739,0.2063
9,0.0738,0.2107
101,0.0737,0.2087
140,0.0731,0.2069
159,0.0727,0.2051
