seed,mse,mae
183,0.0829,0.2154
223,0.0825,0.2149
138,0.0824,0.2148
54,0.0823,0.2149
76,0.082,0.2143
99,0.0814,0.2145
163,0.0812,0.2138
202,0.0808,0.2126
118,0.0806,0.2127
117,0.0803,0.2126
98,0.0795,0.2121
75,0.0795,0.2113
180,0.0789,0.2107
57,0.0789,0.2114
226,0.0787,0.2104
55,0.0781,0.2107
141,0.0781,0.2096
96,0.078,0.211
140,0.0778,0.2093
119,0.0778,0.2104
201,0.0776,0.2089
162,0.0775,0.2091
164,0.0773,0.2084
97,0.0772,0.2085
160,0.0772,0.2087
222,0.0772,0.2095
58,0.0762,0.2091
100,0.0761,0.2083
139,0.076,0.2078
77,0.076,0.2099
225,0.0758,0.2083
120,0.0757,0.2085
161,0.0753,0.2118
181,0.0751,0.2065
182,0.0744,0.2098
56,0.0738,0.2087
203,0.0738,0.205
224,0.0726,0.2073
159,0.0716,0.2043
