seed,mse,mae
129,0.1054,0.2521
197,0.1025,0.2489
62,0.1014,0.2474
146,0.1001,0.2464
179,0.0998,0.2451
33,0.0994,0.2448
42,0.0989,0.2444
109,0.0986,0.2441
4,0.0984,0.2441
124,0.0979,0.2433
76,0.0974,0.2424
173,0.0973,0.2426
148,0.0972,0.2427
11,0.0971,0.2422
130,0.097,0.2426
25,0.0967,0.2417
102,0.0964,0.2417
45,0.0964,0.2419
2,0.0963,0.2414
22,0.0961,0.2411
43,0.096,0.2414
63,0.0959,0.2407
135,0.0955,0.2403
47,0.0954,0.2402
5,0.0953,0.2405
114,0.0952,0.2403
167,0.0951,0.2398
111,0.095,0.2395
171,0.0949,0.24
112,0.0948,0.2395
108,0.0948,0.2391
88,0.0947,0.24
175,0.0947,0.2391
161,0.0946,0.2395
122,0.0945,0.2393
93,0.0944,0.2391
30,0.0944,0.2392
61,0.0944,0.2383
82,0.0943,0.2391
118,0.0943,0.2395
10,0.0943,0.2391
64,0.0942,0.2389
198,0.0941,0.2392
100,0.0941,0.2386
101,0.0941,0.2387
163,0.094,0.2394
113,0.0937,0.2384
96,0.0937,0.2386
127,0.0936,0.2383
183,0.0935,0.2382
134,0.0935,0.2383
159,0.0935,0.2378
187,0.0935,0.2381
86,0.0934,0.2379
50,0.0933,0.2381
98,0.0932,0.238
79,0.0932,0.2378
116,0.0932,0.238
155,0.0931,0.2374
9,0.0931,0.2382
85,0.0929,0.2372
178,0.0929,0.2371
99,0.0929,0.2378
191,0.0927,0.237
174,0.0927,0.2383
69,0.0927,0.2369
188,0.0927,0.2374
142,0.0927,0.237
160,0.0926,0.2382
8,0.0925,0.238
177,0.0925,0.2375
28,0.0923,0.2361
16,0.0923,0.2369
158,0.0922,0.2365
38,0.0922,0.2382
149,0.0921,0.2375
78,0.092,0.2367
193,0.0918,0.2357
34,0.0918,0.2361
195,0.0918,0.2368
56,0.0918,0.2373
185,0.0917,0.2366
87,0.0917,0.2369
95,0.0917,0.2366
154,0.0916,0.2365
141,0.0916,0.2369
151,0.0915,0.2356
201,0.0913,0.2355
107,0.0913,0.2356
60,0.0913,0.2359
55,0.0912,0.2366
168,0.0911,0.2355
18,0.0909,0.2355
52,0.0908,0.2358
126,0.0908,0.2352
57,0.0907,0.2354
194,0.0907,0.2351
156,0.0906,0.235
165,0.0905,0.2345
67,0.0904,0.2356
202,0.0903,0.2345
138,0.0902,0.2341
164,0.0901,0.235
44,0.0901,0.2348
128,0.09,0.2349
189,0.09,0.2338
105,0.0898,0.2361
65,0.0898,0.2342
170,0.0897,0.2343
157,0.0896,0.2344
115,0.0896,0.234
72,0.0896,0.2342
17,0.0896,0.2339
19,0.0896,0.2337
36,0.0895,0.2338
14,0.0895,0.2347
54,0.0894,0.2339
147,0.0894,0.2331
81,0.0894,0.2341
84,0.0893,0.2339
123,0.0893,0.2349
144,0.0892,0.2328
145,0.0892,0.2345
21,0.0892,0.2332
39,0.0891,0.2333
91,0.0891,0.2327
143,0.0891,0.2333
89,0.0889,0.2327
49,0.0889,0.2333
119,0.0888,0.2335
180,0.0888,0.2333
74,0.0887,0.2331
117,0.0886,0.2327
35,0.0885,0.2332
20,0.0885,0.2339
121,0.0885,0.2327
192,0.0885,0.2326
83,0.0884,0.2331
152,0.0884,0.2322
181,0.0883,0.2338
97,0.0883,0.2322
196,0.0883,0.2324
140,0.0882,0.2322
0,0.0882,0.2323
172,0.0881,0.2328
66,0.0881,0.232
110,0.088,0.2326
132,0.0879,0.2322
190,0.0879,0.2325
53,0.0879,0.2317
26,0.0879,0.2316
32,0.0879,0.232
1,0.0879,0.2322
6,0.0878,0.2328
15,0.0877,0.2332
24,0.0877,0.232
70,0.0876,0.2319
68,0.0876,0.2313
176,0.0876,0.2315
31,0.0875,0.2322
48,0.0875,0.2322
136,0.0874,0.2316
40,0.0874,0.2317
77,0.0872,0.2322
7,0.0871,0.2336
3,0.0869,0.2311
150,0.0868,0.2319
153,0.0867,0.2307
94,0.0865,0.2312
166,0.0864,0.2314
137,0.0864,0.2312
200,0.0864,0.2303
169,0.0863,0.2315
184,0.0863,0.2302
73,0.0862,0.2303
182,0.0862,0.2315
199,0.0862,0.2319
103,0.086,0.2307
90,0.0859,0.2306
125,0.0858,0.2312
46,0.0857,0.2307
29,0.0856,0.2304
59,0.0855,0.2291
12,0.0853,0.2302
51,0.0853,0.2291
186,0.085,0.229
131,0.0849,0.2295
133,0.0844,0.2289
23,0.0844,0.2285
13,0.0843,0.2286
106,0.0842,0.2286
58,0.0841,0.2285
41,0.084,0.232
92,0.0838,0.2291
27,0.0834,0.2277
120,0.0832,0.2276
37,0.0831,0.2262
80,0.0831,0.2298
104,0.083,0.2274
139,0.083,0.2298
75,0.0828,0.2276
162,0.0823,0.2272
71,0.082,0.2264
