seed,mse,mae
262,0.1892,0.3084
153,0.189,0.3089
167,0.1888,0.3088
154,0.1887,0.3088
270,0.1885,0.3081
173,0.1885,0.308
23,0.1884,0.3083
104,0.1884,0.3086
7,0.1882,0.308
101,0.1879,0.3079
22,0.1879,0.3073
220,0.1879,0.3079
267,0.1876,0.3067
122,0.1876,0.3069
51,0.1875,0.3073
204,0.1875,0.3066
109,0.1874,0.3071
113,0.1874,0.3067
261,0.1874,0.3078
102,0.1873,0.3077
11,0.1872,0.3062
21,0.1871,0.3065
59,0.1871,0.3059
55,0.187,0.3073
209,0.187,0.3064
52,0.1869,0.3069
203,0.1869,0.3066
168,0.1869,0.306
57,0.1869,0.3066
165,0.1869,0.3057
16,0.1867,0.3052
256,0.1867,0.3074
158,0.1866,0.3063
279,0.1866,0.3062
215,0.1866,0.3059
106,0.1866,0.306
103,0.1865,0.3058
223,0.1865,0.3063
210,0.1864,0.3063
29,0.1864,0.3066
276,0.1864,0.3058
273,0.1864,0.3056
123,0.1864,0.3059
17,0.1864,0.3055
8,0.1864,0.3053
152,0.1863,0.3055
118,0.1863,0.3061
263,0.1863,0.3058
226,0.1862,0.3062
63,0.1862,0.3054
175,0.1862,0.3056
125,0.1862,0.3058
65,0.1861,0.3059
172,0.1861,0.3054
277,0.1861,0.3054
60,0.1861,0.305
255,0.1861,0.3061
30,0.1861,0.3055
62,0.1861,0.3062
15,0.1861,0.3058
156,0.186,0.306
6,0.186,0.3059
119,0.186,0.3051
271,0.186,0.3055
211,0.186,0.3052
112,0.186,0.3055
205,0.1859,0.3054
19,0.1859,0.306
111,0.1859,0.3048
114,0.1859,0.3049
13,0.1858,0.3055
24,0.1858,0.3051
171,0.1857,0.3053
160,0.1857,0.306
26,0.1857,0.3053
266,0.1857,0.3048
117,0.1857,0.3047
169,0.1857,0.3049
272,0.1856,0.3053
108,0.1856,0.3055
18,0.1856,0.305
162,0.1856,0.3054
27,0.1856,0.3051
126,0.1856,0.3055
71,0.1856,0.3053
259,0.1856,0.3055
116,0.1855,0.3049
268,0.1855,0.3047
70,0.1855,0.3049
163,0.1855,0.3057
217,0.1855,0.3055
115,0.1855,0.3049
221,0.1854,0.3048
176,0.1854,0.3053
68,0.1854,0.3049
75,0.1854,0.3052
225,0.1854,0.3048
58,0.1854,0.3053
9,0.1854,0.3056
166,0.1854,0.3048
224,0.1853,0.3048
214,0.1853,0.3043
54,0.1853,0.3048
269,0.1853,0.3052
64,0.1853,0.3046
72,0.1852,0.3045
159,0.1852,0.3046
207,0.1852,0.3049
222,0.1852,0.3049
56,0.1852,0.3047
264,0.1851,0.3045
213,0.1851,0.3048
216,0.1851,0.3049
260,0.1851,0.3044
278,0.185,0.3046
61,0.185,0.3046
161,0.185,0.3042
157,0.185,0.3045
265,0.185,0.305
275,0.185,0.3046
208,0.185,0.3044
25,0.185,0.3043
28,0.1849,0.3054
105,0.1849,0.3042
219,0.1849,0.3049
10,0.1849,0.3044
155,0.1849,0.3044
212,0.1849,0.3044
12,0.1848,0.3041
5,0.1848,0.3044
20,0.1848,0.3041
127,0.1848,0.304
164,0.1848,0.3044
258,0.1848,0.3042
206,0.1848,0.3043
53,0.1847,0.3041
254,0.1847,0.3045
74,0.1847,0.3044
257,0.1847,0.304
110,0.1846,0.3045
177,0.1846,0.3042
69,0.1846,0.3045
67,0.1845,0.3042
107,0.1845,0.3044
174,0.1845,0.3044
124,0.1845,0.304
218,0.1844,0.304
170,0.1843,0.3039
73,0.1843,0.3041
121,0.1843,0.3036
14,0.1842,0.304
274,0.1842,0.3042
66,0.1841,0.3037
120,0.1841,0.3041
