seed,mse,mae
53,0.2485,0.3517
11,0.2477,0.3498
62,0.2473,0.3482
58,0.2464,0.3485
8,0.2463,0.3485
4,0.2461,0.3485
16,0.2461,0.3468
55,0.2458,0.3475
10,0.2454,0.3473
63,0.2453,0.3467
7,0.2453,0.3479
3,0.2449,0.347
14,0.2446,0.3469
51,0.2445,0.3468
52,0.2445,0.3459
66,0.2444,0.3462
64,0.2442,0.3471
15,0.244,0.3457
65,0.2439,0.3466
12,0.2439,0.3461
12,0.2439,0.3461
67,0.2438,0.3462
2,0.2437,0.3464
54,0.2433,0.3459
61,0.2431,0.346
6,0.2431,0.3455
60,0.243,0.3458
68,0.2428,0.3452
9,0.2426,0.3445
13,0.2425,0.3458
5,0.2424,0.3445
1,0.2421,0.3446
56,0.242,0.3443
59,0.2416,0.3445
17,0.2415,0.3449
57,0.2414,0.3436
0,0.2411,0.3435
