seed,mse,mae
117,0.3382,0.4314
243,0.3337,0.4275
55,0.3292,0.4261
98,0.3283,0.425
96,0.3272,0.425
2,0.3265,0.4257
264,0.3261,0.4243
33,0.3249,0.4241
201,0.3231,0.4213
139,0.3226,0.4201
97,0.3224,0.4226
12,0.3223,0.4208
202,0.3221,0.4212
118,0.322,0.4203
181,0.3219,0.4197
1,0.3218,0.4217
138,0.3217,0.4193
0,0.3216,0.4206
75,0.321,0.421
34,0.3208,0.4192
244,0.3203,0.4194
222,0.3202,0.42
265,0.3194,0.4179
223,0.3193,0.4187
13,0.3193,0.4185
76,0.3191,0.4181
180,0.3188,0.4183
54,0.3173,0.4164
285,0.3161,0.416
