seed,mse,mae
204,0.1496,0.2755
159,0.1482,0.273
13,0.1481,0.2735
293,0.148,0.2735
33,0.1479,0.2734
222,0.1479,0.2723
203,0.1479,0.2721
38,0.1478,0.2727
0,0.1478,0.2727
77,0.1478,0.2723
162,0.1476,0.2727
14,0.1476,0.2729
138,0.1475,0.2723
99,0.1475,0.2728
290,0.1474,0.2728
143,0.1474,0.2721
285,0.1473,0.2721
140,0.1473,0.2723
286,0.1473,0.2719
184,0.1472,0.272
139,0.1472,0.2719
141,0.1471,0.2722
267,0.1471,0.272
227,0.1471,0.2721
160,0.1471,0.2716
118,0.147,0.2721
206,0.147,0.2719
5,0.147,0.2716
58,0.147,0.2715
4,0.147,0.2723
288,0.1469,0.2718
17,0.1469,0.272
181,0.1468,0.2716
165,0.1468,0.2715
243,0.1468,0.2713
100,0.1468,0.2712
163,0.1468,0.2712
117,0.1468,0.271
246,0.1468,0.2715
36,0.1468,0.2716
266,0.1468,0.2715
3,0.1467,0.2709
2,0.1467,0.2715
15,0.1467,0.2711
182,0.1467,0.2713
75,0.1467,0.2711
225,0.1467,0.2711
223,0.1467,0.2712
291,0.1467,0.2716
101,0.1467,0.2714
202,0.1466,0.2717
287,0.1466,0.2708
180,0.1466,0.271
244,0.1466,0.2707
144,0.1466,0.271
96,0.1465,0.271
57,0.1465,0.2707
79,0.1465,0.271
248,0.1465,0.2709
12,0.1465,0.2709
121,0.1465,0.2707
185,0.1464,0.2709
265,0.1464,0.2706
245,0.1464,0.2709
224,0.1464,0.2707
226,0.1463,0.2705
80,0.1463,0.271
97,0.1463,0.2705
205,0.1463,0.2708
268,0.1463,0.2712
35,0.1463,0.2707
247,0.1463,0.2708
34,0.1463,0.2708
183,0.1463,0.2706
98,0.1463,0.2712
289,0.1463,0.2707
37,0.1462,0.2707
54,0.1462,0.2709
39,0.1462,0.271
119,0.1462,0.2705
18,0.1461,0.2707
201,0.1461,0.2706
56,0.1461,0.2705
264,0.1461,0.2708
120,0.1461,0.2706
78,0.1461,0.2705
55,0.146,0.2708
292,0.146,0.2706
76,0.146,0.2705
164,0.146,0.2706
142,0.1459,0.2702
1,0.1459,0.2704
16,0.1457,0.2706
161,0.1457,0.2706
