seed,mse,mae
98,0.513,0.5394
222,0.5022,0.5371
56,0.5019,0.5363
55,0.5018,0.5368
78,0.5016,0.5358
97,0.1669,0.2984
140,0.1663,0.2972
75,0.1661,0.2973
203,0.1658,0.2968
225,0.1652,0.2961
138,0.1652,0.2962
204,0.1651,0.2959
202,0.1649,0.2956
118,0.1647,0.2962
77,0.1644,0.2954
224,0.1641,0.2953
201,0.1638,0.2945
180,0.1636,0.2944
139,0.1635,0.2944
76,0.1591,0.2888
223,0.1553,0.2838
54,0.1546,0.2835
182,0.1531,0.2808
117,0.1517,0.2793
96,0.151,0.2781
181,0.1507,0.2776
159,0.1497,0.2761
160,0.1488,0.2751
