seed,mse,mae
204,0.3568,0.4482
96,0.3433,0.4406
140,0.3428,0.438
225,0.342,0.4393
224,0.3416,0.4383
161,0.3378,0.4353
162,0.3377,0.4341
203,0.3374,0.4338
138,0.3368,0.435
55,0.3368,0.4346
97,0.3361,0.4331
223,0.335,0.4311
201,0.3347,0.4332
159,0.3338,0.4318
98,0.3328,0.4309
76,0.3325,0.4305
75,0.3324,0.4316
182,0.3323,0.4295
118,0.3323,0.432
222,0.3313,0.43
202,0.3309,0.4307
117,0.3309,0.4289
56,0.3307,0.4293
163,0.3307,0.4304
139,0.3304,0.4305
180,0.3301,0.4293
77,0.3299,0.4289
54,0.3287,0.4273
181,0.3274,0.4254
119,0.3274,0.4263
141,0.3272,0.4252
120,0.3236,0.4231
160,0.3233,0.4217
