seed,mse,mae
3,0.1047,0.2508
62,0.1014,0.2474
33,0.0995,0.2449
42,0.0989,0.2444
4,0.0985,0.2442
76,0.0973,0.2423
11,0.097,0.2421
25,0.0966,0.2416
45,0.0965,0.242
2,0.0963,0.2414
43,0.096,0.2414
22,0.096,0.241
63,0.0959,0.2407
47,0.0954,0.2402
5,0.0953,0.2405
88,0.0948,0.2401
30,0.0945,0.2393
93,0.0944,0.2391
82,0.0944,0.2392
10,0.0942,0.2389
64,0.0942,0.2389
100,0.0942,0.2387
61,0.0939,0.2378
96,0.0937,0.2386
50,0.0933,0.238
86,0.0933,0.2378
79,0.0933,0.2379
99,0.0932,0.2381
98,0.0932,0.238
16,0.0932,0.2378
9,0.093,0.2381
69,0.0928,0.237
85,0.0928,0.237
52,0.0927,0.239
8,0.0925,0.238
28,0.0922,0.2359
38,0.0922,0.2383
18,0.092,0.2362
78,0.092,0.2367
34,0.0919,0.2362
95,0.0917,0.2366
87,0.0917,0.2369
56,0.0917,0.2372
60,0.0915,0.2361
55,0.0912,0.2367
57,0.0908,0.2356
67,0.0904,0.2356
44,0.0901,0.2348
72,0.0898,0.2344
65,0.0897,0.2341
17,0.0896,0.2338
36,0.0895,0.2338
81,0.0895,0.2342
19,0.0895,0.2336
14,0.0894,0.2346
21,0.0893,0.2333
84,0.0893,0.2339
54,0.0892,0.2337
49,0.0892,0.2335
39,0.0891,0.2333
91,0.0891,0.2327
89,0.0889,0.2327
35,0.0887,0.2333
74,0.0886,0.233
83,0.0885,0.2332
20,0.0884,0.2338
97,0.0883,0.2322
0,0.0882,0.2323
66,0.0882,0.2321
32,0.088,0.2321
1,0.088,0.2323
53,0.088,0.2318
26,0.0879,0.2316
6,0.0879,0.2329
68,0.0878,0.2315
15,0.0877,0.2332
24,0.0876,0.2319
48,0.0875,0.2321
70,0.0875,0.2317
31,0.0874,0.2321
77,0.0874,0.2323
40,0.0874,0.2317
7,0.0872,0.2337
94,0.0865,0.2312
73,0.0862,0.2303
90,0.0859,0.2306
59,0.0858,0.2293
46,0.0857,0.2307
29,0.0856,0.2304
12,0.0853,0.2302
51,0.0853,0.2291
13,0.0845,0.2288
23,0.0844,0.2285
92,0.084,0.2293
41,0.084,0.232
58,0.084,0.2284
27,0.0834,0.2278
37,0.0831,0.2263
80,0.0831,0.2298
75,0.0828,0.2276
71,0.082,0.2264
71,0.082,0.2264
