seed,mse,mae
57,0.2796,0.3124
285,0.2714,0.3043
224,0.2706,0.3071
19,0.2686,0.3024
124,0.2686,0.3069
78,0.2665,0.3026
5,0.2658,0.3064
204,0.2655,0.3031
60,0.2644,0.2964
267,0.2642,0.3004
14,0.2635,0.2952
59,0.2629,0.3021
247,0.2619,0.2938
244,0.2617,0.3011
222,0.2617,0.302
100,0.2616,0.2977
266,0.2616,0.2999
251,0.2616,0.3
163,0.2615,0.2995
292,0.2612,0.3004
119,0.2612,0.2951
138,0.2609,0.2907
160,0.2608,0.2959
96,0.2605,0.2981
121,0.2601,0.2935
18,0.2598,0.2964
264,0.2598,0.2925
170,0.2598,0.2927
101,0.2597,0.295
289,0.2596,0.2961
227,0.2595,0.294
205,0.2595,0.2935
208,0.2594,0.2953
249,0.2589,0.2951
17,0.2587,0.2946
161,0.2585,0.2961
4,0.2582,0.2941
80,0.2581,0.2988
140,0.2581,0.2954
36,0.258,0.2976
79,0.258,0.2984
270,0.258,0.2904
99,0.2579,0.2978
81,0.2579,0.2992
35,0.2578,0.2958
207,0.2578,0.2924
77,0.2577,0.2977
75,0.2577,0.297
34,0.2576,0.2919
33,0.2576,0.2922
39,0.2576,0.2949
120,0.2574,0.2975
141,0.2573,0.2963
209,0.2573,0.3024
16,0.2572,0.292
54,0.2571,0.2918
182,0.2567,0.297
38,0.2567,0.2938
268,0.2566,0.2933
248,0.2565,0.2959
56,0.256,0.2902
223,0.2559,0.2939
180,0.2559,0.2941
20,0.2558,0.2946
117,0.2557,0.2894
1,0.2555,0.2888
98,0.2555,0.2935
0,0.2555,0.2921
118,0.2555,0.2955
97,0.2555,0.2904
159,0.2554,0.2983
250,0.2552,0.2927
201,0.255,0.2921
3,0.255,0.2908
225,0.255,0.2926
206,0.2549,0.2955
122,0.2549,0.2898
12,0.2548,0.2893
246,0.2544,0.2909
271,0.2542,0.2894
58,0.2541,0.2921
290,0.2541,0.2878
169,0.2541,0.2933
37,0.2541,0.2894
226,0.2536,0.2865
15,0.2533,0.2919
13,0.2533,0.2887
76,0.2531,0.2921
202,0.2531,0.2932
2,0.253,0.294
243,0.253,0.2889
288,0.2528,0.2914
291,0.2528,0.291
185,0.2526,0.2885
55,0.2525,0.2884
139,0.2525,0.2883
265,0.2525,0.2877
286,0.2524,0.288
269,0.2524,0.2881
181,0.2524,0.2896
123,0.2522,0.291
287,0.2521,0.2912
245,0.2513,0.2863
162,0.2512,0.2876
203,0.2498,0.2888
