seed,mse,mae
100,0.3589,0.3733
57,0.3505,0.3601
81,0.3413,0.3557
18,0.3393,0.3538
264,0.3373,0.3532
122,0.3368,0.3506
288,0.3362,0.3462
99,0.3351,0.3515
125,0.3348,0.3485
118,0.3347,0.3464
287,0.3328,0.3514
246,0.3327,0.3483
143,0.3318,0.3528
60,0.3311,0.3466
204,0.3308,0.3479
271,0.3296,0.3447
222,0.3295,0.3422
101,0.3289,0.3478
17,0.3284,0.3433
62,0.3282,0.3456
201,0.3279,0.3465
227,0.3272,0.3489
97,0.327,0.344
270,0.3269,0.3424
290,0.3267,0.3478
61,0.3265,0.3418
54,0.3265,0.3494
36,0.3262,0.3504
79,0.326,0.3442
268,0.3259,0.3469
267,0.3257,0.3486
1,0.3253,0.3414
34,0.3245,0.3374
183,0.3244,0.3433
38,0.3243,0.3403
265,0.3242,0.3404
2,0.3242,0.3396
2,0.3242,0.3396
13,0.324,0.3431
140,0.3232,0.3366
180,0.3231,0.3455
15,0.3231,0.3389
75,0.3231,0.3428
58,0.3231,0.3408
37,0.323,0.3391
33,0.3228,0.3481
286,0.3227,0.3463
226,0.3225,0.3408
205,0.3224,0.3384
291,0.3223,0.347
272,0.3218,0.3367
139,0.3216,0.3425
182,0.3215,0.3378
138,0.3215,0.3351
225,0.3214,0.3398
6,0.3213,0.3408
20,0.3212,0.3432
96,0.3211,0.3379
145,0.3209,0.3457
248,0.3208,0.3402
5,0.32,0.3371
206,0.32,0.3402
35,0.3199,0.3403
208,0.3198,0.3374
123,0.3193,0.3437
12,0.3193,0.3431
293,0.3193,0.3409
119,0.3192,0.3383
203,0.3191,0.3381
245,0.3187,0.3398
77,0.3186,0.3447
4,0.3183,0.3414
223,0.3182,0.3365
247,0.318,0.3399
142,0.3179,0.3398
55,0.3178,0.3374
16,0.3177,0.3409
249,0.3177,0.3373
121,0.3176,0.3353
39,0.3172,0.3387
40,0.3171,0.3338
289,0.317,0.3306
266,0.3168,0.3343
185,0.316,0.3364
80,0.3159,0.3359
117,0.3159,0.34
78,0.3158,0.3368
292,0.3158,0.3355
141,0.3156,0.3346
19,0.3156,0.3358
0,0.3154,0.3365
103,0.3147,0.3371
285,0.3146,0.334
207,0.3146,0.3365
102,0.3144,0.3371
244,0.3142,0.3364
124,0.3139,0.334
98,0.3134,0.3357
14,0.3126,0.3362
144,0.3125,0.3309
184,0.3124,0.333
59,0.3121,0.335
228,0.312,0.3364
76,0.3119,0.3323
187,0.3116,0.3316
224,0.3108,0.3308
224,0.3108,0.3308
202,0.3104,0.3328
120,0.3104,0.3334
186,0.3095,0.3308
56,0.3089,0.3305
269,0.3089,0.3347
3,0.3067,0.3333
181,0.3067,0.3257
243,0.3055,0.3303
