seed,mse,mae
117,0.3422,0.352
57,0.3414,0.3591
59,0.3347,0.3514
224,0.3345,0.3493
161,0.3335,0.3473
119,0.3332,0.3497
160,0.3287,0.3489
205,0.327,0.3472
180,0.3266,0.3509
204,0.325,0.3468
100,0.3247,0.345
79,0.3239,0.3399
118,0.3214,0.3427
97,0.3213,0.3393
225,0.3212,0.3375
56,0.3209,0.339
140,0.32,0.3393
122,0.3194,0.3373
54,0.3193,0.3387
77,0.3178,0.346
201,0.3173,0.3329
138,0.3162,0.3373
159,0.3162,0.3391
163,0.316,0.3395
202,0.3159,0.3375
121,0.3158,0.3412
139,0.3154,0.341
181,0.3148,0.3316
183,0.3144,0.337
182,0.3138,0.336
96,0.3136,0.3341
76,0.3132,0.3348
165,0.3132,0.3325
78,0.3126,0.3334
55,0.3118,0.333
222,0.3116,0.337
223,0.3115,0.3331
141,0.3112,0.3365
75,0.3103,0.3296
98,0.3102,0.3284
58,0.31,0.3329
99,0.3096,0.3324
120,0.3084,0.3339
203,0.3078,0.3339
164,0.3054,0.329
162,0.3051,0.3237
142,0.3048,0.3298
184,0.3023,0.3253
